base_word,rhyme_candidate,score
Grigorij,filmologij,0.45
Grigorij,dopadnij,0.5
odpocznij,uzależnij,0.52
odpocznij,hemimelij,0.45
zapomnij,rozedmij,0.5
zapomnij,naglij,0.45
przypomnij,hipoterapij,0.4
przypomnij,dośpij,0.45
wyrośnij,zipnij,0.55
wyrośnij,aluminotermij,0.35
popij,chemioskopij,0.9
popij,traseologij,0.35
dobij,rypnij,0.5
dobij,fizjognomij,0.4
cofnij,centyfolij,0.4
cofnij,magnolij,0.45
dotknij,herpetologij,0.35
dotknij,jatrogenij,0.53
golnij,elegij,0.45
golnij,umożebnij,0.57
kopnij,kigelij,0.45
kopnij,cetologij,0.4
ochrzcij,fotofobij,0.4
ochrzcij,horografij,0.4
ocknij,magnetobiologij,0.3
ocknij,bazofilij,0.4
pomnij,zaśpij,0.5
pomnij,histologij,0.4
pomścij,etnosocjologij,0.3
pomścij,palij,0.5
porwij,erynij,0.45
porwij,baronij,0.45
poślij,epizootiologij,0.25
poślij,ściągnij,0.5
rośnij,trybologij,0.4
rośnij,tchnij,0.62
rozbij,łaknij,0.5
rozbij,wespnij,0.5
spocznij,klęśnij,0.62
spocznij,scanij,0.62
amorfizmy,sabeizmy,0.64
amorfizmy,doleżymy,0.5
zapomnijmy,flokowałyśmy,0.45
zapomnijmy,ależbyśmy,0.5
rozpocznijmy,hardziałybyśmy,0.45
rozpocznijmy,ukrawajmy,0.56
sylogizmy,tagowałybyśmy,0.4
sylogizmy,dowiązywaliśmy,0.4
wyrośliśmy,falowalibyśmy,0.47
wyrośliśmy,drałowałybyśmy,0.47
przypomnijmy,aleksykalizmy,0.4
przypomnijmy,klniemy,0.4
mikrofilmy,obciosalibyśmy,0.4
mikrofilmy,tarasowałybyśmy,0.35
anonimy,maskowaliśmy,0.45
anonimy,umuzyczniliśmy,0.4
narodzimy,gryzowaliśmy,0.45
narodzimy,mórzmy,0.4
stanowimy,grodzimy,0.55
stanowimy,zabłąkałybyśmy,0.4
zakropimy,uprawomocniamy,0.4
zakropimy,umkniemy,0.45
zapomnimy,urealniłybyśmy,0.35
zapomnimy,ciupiemy,0.45
zarobimy,wtopmy,0.4
zarobimy,ucztowałybyśmy,0.4
dochodzimy,ubóżmy,0.45
dochodzimy,glosowałybyśmy,0.4
dogonimy,chrypnęłybyśmy,0.45
dogonimy,fechtowałyśmy,0.45
obchodzimy,fugujmy,0.45
obchodzimy,chluśniemy,0.45
odchodzimy,jęłyśmy,0.45
odchodzimy,tężelibyśmy,0.45
odnowimy,gmerałyśmy,0.5
odnowimy,ukrwawimy,0.67
pochodzimy,kiełkowałybyśmy,0.4
pochodzimy,edukowalibyśmy,0.35
podchodzimy,upatrywałyśmy,0.4
podchodzimy,ukucniemy,0.5
brzmią,amią,0.95
brzmią,radioastronomią,0.75
chcą,drącą,0.95
chcą,brzuchomówcą,0.85
czcią,śnieżnością,0.9
czcią,cudacznością,0.85
czczą,apofizą,0.85
czczą,opstrzą,0.95
drą,gonagrą,0.9
drą,gondolierą,0.85
drgną,jałmużną,0.9
drgną,drzewną,0.95
drwią,zdławią,0.95
drwią,obmówią,0.9
drżą,smażą,0.95
drżą,najeżą,0.9
grą,temperą,0.9
grą,iksorą,0.9
grzmią,hipokalcemią,0.8
grzmią,formią,0.95
ją,atestują,0.85
ją,czerstwieją,0.9
klną,matematyzowaną,0.7
klną,bieluchną,0.9
krwią,uprzemysłowią,0.8
krwią,unerwią,0.9
lgną,utkną,0.95
lgną,kłóconą,0.9
lśnią,trzyletnią,0.9
lśnią,uobecnią,0.85
lwią,trzeźwią,0.95
lwią,pawią,0.95
lżą,zaniżą,0.9
lżą,ołżą,0.95
mdłą,obeschłą,0.9
mdłą,cegłą,0.95
mglą,saradelą,0.85
mglą,pelą,0.95
beczkach,lemocytach,0.5
beczkach,aspartamach,0.5
belkach,paltach,0.62
belkach,lokatiwach,0.53
deskach,mienszewizmach,0.53
deskach,tynkarzach,0.57
freskach,buleuterionach,0.47
freskach,gliptotekach,0.65
kreskach,gałganiarzach,0.53
kreskach,bakelitach,0.53
nerkach,lustratorach,0.53
nerkach,autonomistach,0.47
resztkach,drewkach,0.67
resztkach,cofkach,0.67
rzeczkach,darczyńcach,0.55
rzeczkach,halfach,0.6
setkach,apologetkach,0.85
setkach,gimletach,0.57
ścierkach,oskarżycielkach,0.55
ścierkach,krabach,0.6
ścieżkach,hebanistach,0.5
ścieżkach,buławach,0.55
mieszkach,etiopistykach,0.52
mieszkach,umrzykach,0.62
nieckach,astrokopułach,0.45
nieckach,trójskokach,0.65
czekach,takielarzach,0.57
czekach,turcyzmach,0.62
rekach,żagwiowcach,0.62
rekach,świerzbach,0.67
rzekach,hamiltonkach,0.73
rzekach,ryzykach,0.78
szczekach,amfetaminach,0.52
szczekach,gniazdkach,0.83
wiekach,główszczyznach,0.57
wiekach,rondkach,0.75
dreszczach,mbabanejkach,0.48
dreszczach,rubrach,0.58
gestach,typkach,0.62
gestach,modernizatorach,0.42
mi,anglikami,0.85
mi,świśnięciami,0.85
brwi,lutetowi,0.85
brwi,palmowcowi,0.85
brzmi,ukartowywaniami,0.7
brzmi,rewami,0.9
bździ,kobuzi,0.9
bździ,dowędzi,0.9
ci,badmintoniści,0.8
ci,rypnięci,0.9
cni,włóczni,0.95
cni,obcopylni,0.85
czci,kameralności,0.8
czci,familiarności,0.8
ćmi,trzeźwiutkimi,0.85
ćmi,trilateracjami,0.75
di,idei,0.9
di,cedi,0.95
dni,wyróżni,0.9
dni,dezodoryzowani,0.7
drwi,różycowi,0.85
drwi,astenotymikowi,0.7
drzwi,sakwojażowi,0.8
drzwi,rubinowi,0.85
grzmi,mistycyzującymi,0.7
grzmi,antrykotami,0.8
hi,karoshi,0.9
hi,ghi,1.0
ki,hinduski,0.9
ki,trzęsiogonki,0.85
kpi,szłapi,0.95
kpi,wyłupi,0.9
krwi,alusalowi,0.8
krwi,sarinowi,0.85
li,oberżnęli,0.85
li,nażyli,0.9
lśni,endoreiczni,0.8
lśni,ekskluzyjni,0.85
mi,labanotacjami,0.75
mi,rozbryzgiwanymi,0.75
brwi,rarogowi,0.85
brwi,majakowi,0.85
brzmi,międzysłupiami,0.8
brzmi,akordeonistkami,0.7
bździ,ciemnorudzi,0.85
bździ,zanudzi,0.9
ci,iraniści,0.85
ci,śluzowatości,0.8
cni,akwizycyjni,0.8
cni,uboczni,0.9
czci,eurobiurokraci,0.75
czci,socjalpacyfiści,0.75
ćmi,ceruleinami,0.75
ćmi,urofuscynami,0.75
di,mehendi,0.9
di,midi,0.95
dni,oscylograficzni,0.75
dni,bezdymni,0.9
drwi,grunciarzowi,0.85
drwi,brzuchaczowi,0.85
drzwi,terminizmowi,0.8
drzwi,alweografowi,0.75
grzmi,gabinecikami,0.75
grzmi,paroksytonezami,0.7
hi,ghi,1.0
hi,archi,0.95
ki,łużycki,0.9
ki,anatolijski,0.8
kpi,zadupi,0.9
kpi,obstąpi,0.9
krwi,linolenowi,0.8
krwi,tatuńciowi,0.85
li,oboli,0.9
li,odolei,0.85
lśni,osrani,0.9
lśni,egiptologiczni,0.75
niemniej,łobżenickiej,0.4
niemniej,łochowskiej,0.45
celniej,taternickiej,0.4
celniej,cichutkiej,0.45
ciemniej,lędyczeckiej,0.4
ciemniej,panikarskiej,0.4
letniej,chasydzkiej,0.45
letniej,kąkolewnickiej,0.35
pewniej,defensywniej,0.73
pewniej,tunezyjskiej,0.4
przedniej,eoceńskiej,0.4
przedniej,kaletańskiej,0.4
rzewniej,głowaczowskiej,0.4
rzewniej,gurkhijskiej,0.45
szczelniej,ekonomiczniej,0.52
szczelniej,majestatyczniej,0.52
średniej,gruzińskiej,0.45
średniej,ciesielskiej,0.45
wcześniej,marsjańskiej,0.45
wcześniej,łapskiej,0.5
cieniej,gołębiej,0.45
cieniej,antarktydzkiej,0.4
miejskiej,ekspresywniej,0.4
miejskiej,clownowskiej,0.65
wiejskiej,brudniej,0.5
wiejskiej,rakowaciej,0.4
wielkiej,gołębiej,0.45
wielkiej,czadeckiej,0.57
cienkiej,cienkowargiej,0.4
cienkiej,ilorakiej,0.53
elfiej,toruńskiej,0.45
elfiej,treserskiej,0.45
lekkiej,fortunniej,0.45
lekkiej,antynatowskiej,0.52
lepiej,mieroszowskiej,0.4
lepiej,ulmskiej,0.5
wszelkiej,foremniej,0.45
wszelkiej,latynoskiej,0.57
ziemskiej,ratajskiej,0.65
ziemskiej,istmijskiej,0.65
cnych,automobilowych,0.75
cnych,wałaszonych,0.85
mych,angelicznych,0.85
mych,wrażych,0.95
pstrych,zabazgranych,0.85
pstrych,chlejących,0.9
strych,odreagowywanych,0.7
strych,odpowiadających,0.75
swych,laszowanych,0.85
swych,walczakowych,0.85
szprych,toroidalnych,0.8
szprych,adaptabilnych,0.8
sztych,modelujących,0.8
sztych,bezwymiennych,0.85
twych,flażoletowych,0.8
twych,kabaretujących,0.75
tych,cynobrowych,0.85
tych,limitujących,0.8
Zych,rymowych,0.9
Zych,haczykowatych,0.8
cennych,chłośniętych,0.57
cennych,lagunowych,0.53
ciemnych,wąskorzędowych,0.45
ciemnych,enzootycznych,0.55
drzewnych,gnilcowych,0.57
drzewnych,bromowodorowych,0.42
dzielnych,uklasycznianych,0.55
dzielnych,odgruzowujących,0.4
grzecznych,obfitujących,0.45
grzecznych,honornych,0.65
grzesznych,czwartorzędnych,0.6
grzesznych,trudnych,0.7
krewnych,czarusiowatych,0.47
krewnych,cyganionych,0.65
leśnych,emporowych,0.53
leśnych,walczących,0.57
mlecznych,luteotropowych,0.4
mlecznych,izoklinalnych,0.55
pewnych,bezmiejscowych,0.53
pewnych,brudnoszarych,0.53
chrapy,meteoroskopy,0.3
chrapy,loopy,0.45
czapy,geotypy,0.4
czapy,ospy,0.5
kapy,wertepy,0.45
kapy,chronoskopy,0.4
klapy,episkopy,0.4
klapy,izentalpy,0.4
mapy,pikapy,0.95
mapy,pumpy,0.5
papy,rapy,1.0
papy,mechanoskopy,0.35
rapy,fonendoskopy,0.35
